RegionHex,Log-Likelihood,Likelihood
0x0899,-15.2453,2.39359E-07
0x2d86,-15.2453,2.39359E-07
0x3de2,-15.2454,2.39335E-07
0x4517,-15.2455,2.39311E-07
0x4914,-15.2457,2.39264E-07
0x37c8,-15.246,2.39192E-07
0x25b2,-15.2465,2.39072E-07
0x1191,-15.2468,2.39001E-07
0x0f1c,-15.2475,2.38833E-07
0x0b2f,-15.2476,2.38809E-07
0x7417,-15.2477,2.38786E-07
0x480e,-15.2479,2.38738E-07
0x6d60,-15.2479,2.38738E-07
0x24f1,-15.248,2.38714E-07
0x0dbc,-15.2481,2.3869E-07
0x27c8,-15.2483,2.38642E-07
0x32f3,-15.2484,2.38618E-07
0x19a7,-15.2486,2.38571E-07
0x4a33,-15.2489,2.38499E-07
0x0191,-15.2491,2.38451E-07
0x4730,-15.2493,2.38404E-07
0x683c,-15.2495,2.38356E-07
0x2ecc,-15.2496,2.38332E-07
0x08f1,-15.2499,2.38261E-07
0x6417,-15.25,2.38237E-07
0x0df6,-15.2504,2.38142E-07
0x742a,-15.2506,2.38094E-07
0x370e,-15.2508,2.38046E-07
0x5834,-15.2509,2.38023E-07
0x3cbd,-15.251,2.37999E-07
0x34d4,-15.2511,2.37975E-07
0x369e,-15.2511,2.37975E-07
0x6c04,-15.2513,2.37927E-07
0x2dc2,-15.2518,2.37809E-07
0x0b07,-15.2519,2.37785E-07
0x0a06,-15.2526,2.37618E-07
0x5600,-15.2528,2.37571E-07
0x3e3e,-15.2531,2.375E-07
0x270e,-15.2531,2.375E-07
0x7032,-15.2533,2.37452E-07
0x24d4,-15.2534,2.37428E-07
0x269e,-15.2534,2.37428E-07
0x4907,-15.2534,2.37428E-07
0x6321,-15.2535,2.37405E-07
0x4d04,-15.2536,2.37381E-07
0x413c,-15.2536,2.37381E-07
0x0b0c,-15.2536,2.37381E-07
0x5205,-15.2544,2.37191E-07
0x1cf9,-15.2547,2.3712E-07
0x2a09,-15.2549,2.37072E-07
0x4600,-15.2551,2.37025E-07
0x1c9d,-15.2553,2.36978E-07
0x02ea,-15.2558,2.36859E-07
0x4205,-15.2567,2.36646E-07
0x36d3,-15.2568,2.36622E-07
0x1a27,-15.2571,2.36551E-07
0x328b,-15.2577,2.3641E-07
0x6336,-15.2578,2.36386E-07
0x2aef,-15.2581,2.36315E-07
0x17c9,-15.2581,2.36315E-07
0x5827,-15.2586,2.36197E-07
0x5c24,-15.2588,2.3615E-07
0x3e39,-15.2589,2.36126E-07
0x521d,-15.2589,2.36126E-07
0x26d3,-15.2591,2.36079E-07
0x228b,-15.26,2.35866E-07
0x362f,-15.2603,2.35796E-07
0x07c9,-15.2605,2.35749E-07
0x0ab6,-15.2607,2.35701E-07
0x166b,-15.2608,2.35678E-07
0x336b,-15.2612,2.35584E-07
0x421d,-15.2613,2.3556E-07
0x1e39,-15.2613,2.3556E-07
0x731b,-15.2618,2.35442E-07
0x34ba,-15.2618,2.35442E-07
0x0a09,-15.2618,2.35442E-07
0x26f6,-15.262,2.35395E-07
0x3c8b,-15.262,2.35395E-07
0x2f26,-15.2623,2.35325E-07
0x0bb8,-15.263,2.3516E-07
0x7317,-15.2631,2.35136E-07
0x38c3,-15.2632,2.35113E-07
0x24b6,-15.2641,2.34901E-07
0x3888,-15.2641,2.34901E-07
0x631b,-15.2641,2.34901E-07
0x14ba,-15.2643,2.34854E-07
0x2c89,-15.2643,2.34854E-07
0x3191,-15.2649,2.34714E-07
0x366a,-15.2649,2.34714E-07
0x0f4f,-15.2651,2.34667E-07
0x6317,-15.2654,2.34596E-07
0x29f5,-15.2657,2.34526E-07
0x3e0d,-15.2662,2.34409E-07
0x12e8,-15.2665,2.34338E-07
0x1acc,-15.2666,2.34315E-07
0x39bf,-15.2668,2.34268E-07
0x2191,-15.2672,2.34174E-07
0x3bdd,-15.2675,2.34104E-07
0x752e,-15.2677,2.34057E-07
0x742d,-15.2686,2.33847E-07
0x1c8b,-15.269,2.33753E-07
0x0de5,-15.2693,2.33683E-07
0x04a5,-15.2694,2.3366E-07
0x5235,-15.2696,2.33613E-07
0x0e5b,-15.2705,2.33403E-07
0x19fb,-15.2708,2.33333E-07
0x1888,-15.271,2.33286E-07
0x199f,-15.2711,2.33263E-07
0x1c9c,-15.2711,2.33263E-07
0x0c89,-15.2712,2.3324E-07
0x12ad,-15.2712,2.3324E-07
0x38f2,-15.2714,2.33193E-07
0x15f8,-15.2719,2.33076E-07
0x2896,-15.2719,2.33076E-07
0x04a0,-15.2723,2.32983E-07
0x0a9d,-15.2725,2.32936E-07
0x3e4e,-15.2729,2.32843E-07
0x0bd7,-15.2731,2.32797E-07
0x2b19,-15.2733,2.3275E-07
0x3f16,-15.2741,2.32564E-07
0x1ddc,-15.2743,2.32518E-07
0x06be,-15.2744,2.32494E-07
0x072e,-15.2745,2.32471E-07
0x6b31,-15.2746,2.32448E-07
0x521c,-15.2747,2.32425E-07
0x1bfd,-15.275,2.32355E-07
0x6c2c,-15.2754,2.32262E-07
0x1799,-15.2757,2.32192E-07
0x643b,-15.2758,2.32169E-07
0x07fa,-15.2758,2.32169E-07
0x373b,-15.2758,2.32169E-07
0x12b7,-15.2761,2.32099E-07
0x703c,-15.2762,2.32076E-07
0x28e0,-15.2769,2.31914E-07
0x421c,-15.2771,2.31867E-07
0x3f52,-15.2773,2.31821E-07
0x28d2,-15.2775,2.31775E-07
0x3afa,-15.2777,2.31728E-07
0x0799,-15.278,2.31659E-07
0x0d87,-15.2781,2.31636E-07
0x1ddf,-15.2781,2.31636E-07
0x173b,-15.2783,2.31589E-07
0x2a9e,-15.2783,2.31589E-07
0x32d1,-15.2783,2.31589E-07
0x4963,-15.2791,2.31404E-07
